What is the concept that refers to the events that are part of both event A and event B?	Image placeholder
Conditional Version of the Multiplication Rule	A version of the multiplication rule that is applicable when the probability of an event is conditioned on the occurrence of another event.
Partition	A set of pairwise disjoint events B1, ..., Bk in a sample space S such that union of B1, ..., Bk is equal to S.
Law of Total Probability	A theorem stating that the probability of an event A in a sample space S can be calculated by summing the products of the probabilities of each event Bi in a partition of S and the conditionals of A given Bi, provided that Pr(Bj) > 0 for all j.
Bayesian estimation	The process of estimating the proportion of successes among all patients who might receive a treatment, using prior probabilities and updating them based on the observed data.
Augmented Experiment	An experiment that is extended to include the potential or hypothetical observation of additional information to help calculate probabilities.
Augmented Experiment (Explicit Application)	The explicit assumption that there exists an infinite sequence of patients who could be treated with imipramine, allowing the sample space to consist of infinite sequences of symbols, where each coordinate represents a patient's outcome (success or failure).
Augmentation	The expansion or modification of an experiment to include additional information or possibilities, even if it is not explicitly mentioned or observable.
Experiment	A procedure or process that involves uncertainty and produces a set of outcomes, often used to measure or determine probability.
Independent Events	Events that do not influence each other's probability of occurrence, meaning that the probability of one event does not change based on the occurrence of another event.
Probability	A measure of the likelihood or chance of an event occurring, often expressed as a number between 0 (impossible) and 1 (certain).
Sampling	The process of selecting a subset of outcomes from a larger set of possible outcomes, often used to describe the selection of elements from a probability space.
Bayes' Law	A formula used to compute the conditional probability of an event A given another event B, by rearranging the definition of conditional probability.
Probability of Complement	The probability of an event not occurring, represented as P(A') or P(~A), is the complement of the probability of the event occurring.
